,Type,Repository,Repository City,Rep. Nat.,"Repository, City",,Lib_Latitude,Lib_Longitude,Shelfmark,Date_Start,Date_End,Date_Quality,Provenance,Prov_Latitude,Prov_Longitude,Length,Width,Number Pieces,Orientation,Complete?,Language_1,Language_2,Contents,Description,Bibliography,Editor Initials,Online Images,Online bib/record,
275,Liturgical,Archives départementales de l’Hérault,Montpellier,FR,"Archives départementales de l’Hérault, Montpellier FR",,,,G 1828,1510,1510,,"France, Languedoc-Roussillon, Hérault, Maguelone",,,Unknown,Unknown,,,,Unknown Language,,"Pontifical of Guillaume Pellisier, bishop of Maguelone (1498–1527). Contains ceremony of the consecrations of the holy oils for Maundy Thursday, use of cathedral of Maguelone",,"Martimort, A. G. “Répertoires Des Livres Liturgiques Du Languedoc, Antérieurs Au Concile de Trente.” In Liturgie et Musique (IXe–XIVe S.), 51–80. Cahiers de Fanjeaux 17. Toulouse: Edouard Privat, 1982, p. 65.",EAM,,http://archives-pierresvives.herault.fr/data/files/ad34.portail/images/FRAD034_000000014/Anciennes/G.pdf,p. 102
350,Mortuary Roll,Archives départementales de la Côte-d'Or,Dijon,FR,"Archives départementales de la Côte-d'Or, Dijon FR",,,,G 171,1401,1402,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"Second mortuary roll of Jean [III] de Marigny, abbot of S. Etienne de Dijon (d. 8 December 1387).",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 300.",KWS; LBB,,,
439,Mortuary Roll,Archives départementales de Seine-Maritime,Rouen,FR,"Archives départementales de Seine-Maritime, Rouen FR",,,,55 H 16,1225,1225,,Unknown Provenance,,,25,573,10,,N,Unknown Language,,"Roll of Haïde, abbess of St. Amand of Rouen",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 175.",ECI,,http://visualisation.archivesdepartementales76.net/accounts/mnesys_ad76/datas/medias/inventaires/FRAD076_IR_H_055H_Saint_Amand_Rouen.pdf,
438,Mortuary Roll,Archives départementales de Seine-Maritime,Rouen,FR,"Archives départementales de Seine-Maritime, Rouen FR",,,,54 H 23,1398,1399,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"Fragmentary mortuary roll of Marie de Noyes, abbess of Montvilliers",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 2. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009., no. 287.",ECI,,http://visualisation.archivesdepartementales76.net/accounts/mnesys_ad76/datas/medias/inventaires/FRAD076_IR_H_054H_Montivilliers.pdf,
378,Mortuary Roll,Archives départementales du Nord,Lille,FR,"Archives départementales du Nord, Lille FR",,,,"3 H 13, pièce 167",1429,1429,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Incomplete mortuary roll from S. Sepulcre of Cambrai.,,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 322.",KWS; LBB,,,
377,Mortuary Roll,Archives départementales du Nord,Lille,FR,"Archives départementales du Nord, Lille FR",,,,"1 H 19, pièce 245",1442,1442,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,"Encyclical requesting prayers for Henri [de Conflans], abbot of Anchin",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 335.",KWS; LBB,,,
644,Mortuary Roll,Archives départementales du Nord,Lille,FR,"Archives départementales du Nord, Lille FR",,,,"1 H 19, pièce 246",1467,1467,,"France, Valenciennes",,,2330,"21.5, 23",39,,N,Latin,,Incomplete mortuary roll circulated from St. Jean of Valenciennes.,Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 361.",LBB,,,
104,Ecclesiastical,Archives départmentales du Haut-Rhin,Colmar,FR,"Archives départmentales du Haut-Rhin, Colmar FR",,,,Grand Document 139,900,1000,,"France, Alsace",,,170,19,4,,,Latin,,"Recto: Acta praeliminarium synodis Aquisgranensis (Statua Murbach, 816). Verso: Formulae Sangallenses miscellaneae",Opisthographic.,"Bischoff, Bernhard. Katalog Der Festländischen Handschriften Des Neunten Jahrhunderts: Aachen-Lambach. Basel: Otto Harrassowitz Verlag, 1998, 203, no. 901.; Mordek, Hubert. Bibliotheca Capitularium Regum Francorum Manuscripta: Uberlieferung Und Traditionszusammenhang Der Frankischen Herrschererlasse. Munich: Monumenta Germaniae Historica, 1995. 112-113.; Mordek, Hubert. “Karolingische Kapitularen.” In Überlieferung Und Geltung Normativer Texte Des Frühen Und Hohen Mittelalters: Vier Vorträge, Gehalten Auf Dem 35. Deutschen Historikertag: 1984 in Berlin, 25–50.",,,,
403,Mortuary Roll,Archives nationales,Paris,FR,"Archives nationales, Paris FR",,,,armorie de fer,1122,1122,,Unknown Provenance,,,Unknown,Unknown,,,N,Unknown Language,,"Roll of Vital, abbot of Savigny.",Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 1. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009. no. 122.",LBB,,,
560,Varia,Archives nationales,Paris,FR,"Archives nationales, Paris FR",,,,J 413 no18,1307,1307,,Unknown Provenance,,,2202,38,44,,N,Latin,,Record of trial of Templars. Procès-verbal d'interrogatoire des templiers à Paris du 19 octobre au 24 novembre 1307. Longer version in the Vatican.,,"Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.",SDP (edited),http://www.culture.gouv.fr/public/mistral/caran_fr?ACTION=RETROUVER&FIELD_9=NOMDOS&VALUE_9=templiers&NUMBER=1&GRP=0&REQ=%28%28templiers%29%20%3aNOMDOS%20%29&USRNAME=nobody&USRPWD=4%24%2534P&SPEC=9&SYN=1&IMLY=&MAX1=1&MAX2=1&MAX3=100&DOM=All,,
96,Dramatic Parts,Archives nationales,Paris,FR,"Archives nationales, Paris FR",,,,M 877B no15,1400,1500,,Unknown Provenance,,,44.2,10.3,3,,,Unknown Language,,Prologue to Miracle of St. Nicholas,Written on paper.,"Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991. p. 63-4; Samaran, C., ed. “Fragments de Manuscrits Latins et Français Du Moyen Age.” Romania 51 (1925): 191–195.",SDP,,,
97,Dramatic Parts,Archives nationales,Paris,FR,"Archives nationales, Paris FR",,,,M 877B no24,1400,1500,,Unknown Provenance,,,33,7.3,,,,French,,"""Rolet de tripet"", farce.",,"Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991. p. 63-4; Samaran, C., ed. “Fragments de Manuscrits Latins et Français Du Moyen Age.” Romania 51 (1925): 191–195.",SDP,,,
95,Dramatic Parts,Archives nationales,Paris,FR,"Archives nationales, Paris FR",,,,AB XIX Manche 1732,1500,1600,,Unknown Provenance,,,27,19,,,,French,,Role of Sin in a mortality play,"Rôle in the form of a booklet, on paper with clear signs of cutting, as if it had been closed.","Lalou, Elizabeth. “Les Rolets de Théâtre: Étude Codicologique.” In Actes Du 115e Congrès National Des Sociétés Savantes, Avignon, 1990, 51–71. Paris: Editions du CTHS, 1991.; Runnalls, Graham A. “An Actor’s Rôle in a French Morality Play.” French Studies XLII (1988): 398–407.",SDP,,,
99,Dramatic Parts,Archivio Capitolare di San Panfilo,Sulmona,IT,"Archivio Capitolare di San Panfilo, Sulmona IT",,,,Fasc 47 n9,1400,1500,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Easter play: Part of 4th guardian of sepulchre),,"Young, Karl. The Drama of the Medieval Church. 2 vols. Oxford: Clarendon press, 1962, 501, 701-8.; Inguanez, Mauro, ed. Un Dramma Della Passione Del Secolo XII. 2. ed. Miscellanea Cassinese 18. Badia di Montecassino, 1939, 32 and n 107.",,,,
563,Vitae,Archivio Capitolare,Alba,IT,"Archivio Capitolare, Alba IT",,,,SN,1300,1400,,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,,Palimpsest antiphon on dorse,"Buccolo, Marco. “Un antico antifonario sul verso del Rotulo di San Teobaldo.” Alba Pompeia 10 (n.d.): 82–90.",,,,
295,Liturgical,Archivio Capitolare,Troia,IT,"Archivio Capitolare, Troia IT",,,,Exultet 3,1100,1200,,"Italy, Troia",,,651,25,8,,N,Latin,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.",,http://www.icpal.beniculturali.it/scheda_fotografico.html?ids_foto=95C4643C-0465-4DDB-87C6-49ADA30F3629,,
293,Liturgical,Archivio Capitolare,Troia,IT,"Archivio Capitolare, Troia IT",,,,Exultet 1,1025,1075,,"Italy, Troia",,,264,20,5,,,Unknown Language,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",,,,
294,Liturgical,Archivio Capitolare,Troia,IT,"Archivio Capitolare, Troia IT",,,,Exultet 2,1100,1150,,"Italy, Troia",,,190.5,20,3,,N,Unknown Language,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",,,,
250,Liturgical,Archivio del Capitolo Metropolitano,Bari,IT,"Archivio del Capitolo Metropolitano, Bari IT",,,,Exultet 3,1200,1300,,Unknown Provenance,,,284.5,21,4,,,Unknown Language,,Exultet,Made from a Greek liturgical roll,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.",SDP (edited),,http://siusa.archivi.beniculturali.it/cgi-bin/pagina.pl?TipoPag=comparc&Chiave=216646,
249,Liturgical,Archivio del Capitolo Metropolitano,Bari,IT,"Archivio del Capitolo Metropolitano, Bari IT",,,,Exultet 2,1050,1075,,Unknown Provenance,,,398,32.5,5,,N,Unknown Language,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.",SDP (edited),,http://siusa.archivi.beniculturali.it/cgi-bin/pagina.pl?TipoPag=comparc&Chiave=216646,
248,Liturgical,Archivio del Capitolo Metropolitano,Bari,IT,"Archivio del Capitolo Metropolitano, Bari IT",,,,Exultet 1,1000,1025,,Unknown Provenance,,,530,39.5,8,,,Unknown Language,,,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.",SDP (edited),,http://siusa.archivi.beniculturali.it/cgi-bin/pagina.pl?TipoPag=comparc&Chiave=216646,
270,Liturgical,Archivio della Chiesa Collegiata,Mirabella Eclano,IT,"Archivio della Chiesa Collegiata, Mirabella Eclano IT",,,,Exultet 1,1000,1025,,"Italy, Benevento",,,201,22.7,4,,N,Unknown Language,,Exultet,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",SDP,,,
271,Liturgical,Archivio della Chiesa Collegiata,Mirabella Eclano,IT,"Archivio della Chiesa Collegiata, Mirabella Eclano IT",,,,Exultet 2,1100,1125,,"Italy, Benevento?",,,158,23,3,,,Latin,,"Exultet, a continuation of Mirabella 1.",,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",SDP,,,
247,Liturgical,Archivio Diocesano,Avezzano,IT,"Archivio di Stato, Avezzano IT",,,,Exultet,1057,1075,,Unknown Provenance,,,566,27,8,,,Latin,,"Exultet written for Pandulfus, Bishop of Marsi.",Video of scroll https://www.youtube.com/watch?v=PNfRY7HYjsY,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996; Newton, Francis. The Scriptorium and Library at Monte Cassino, 1058-1105. Cambridge: Cambridge University Press, 1999.",SDP (edited),http://www.icpal.beniculturali.it/scheda_fotografico.html?ids_foto=C25E9B70-9A76-4381-8E39-18D05F56C7FD,,
86,Chronicles,Archivio di Stato,Turin,IT,"Archivio di Stato, Turin IT",,,,SN,1066,1066,ca,Italy,,,Unknown,Unknown,,V,,Latin,,Chronicle of Novalesa,Opisthographic.,"Cipolla, Carlo. Monumenta Novaliciensia Vetustiora; Raccolta Degli Atti E Delle Cronache Riguardanti L’abbazia Della Novalesa. Fonti per La Storia d’Italia Pubblicate Dall’ Istituto Storico Italiano. Scrittori, Secoli VIII-XI 31-32. Roma: Forzani, 1898.",,http://www.abbazianovalesa.org/secolo_xi.htm,,
444,Mortuary Roll,Archivio di Stato,Turin,IT,"Archivio di Stato, Turin IT",,,,SN,1183,1183,,Unknown Provenance,,,Unknown,Unknown,15,,N,Unknown Language,,"Incomplete roll of Boson, abbot of San Giusto, Susa.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 1. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009. no. 127.",,,,
442,Mortuary Roll,Archivio di Stato,Turin,IT,"Archivio di Stato, Turin IT",,,,"Corte, Materie ecclesiastice, Abbazia di S. Giusto di Susa, mazzo 2 bis, fasc. 1",1130,1130,?,"Italy, Susa",,,875,16.5,14,,N,Latin,,"Incomplete mortuary roll of Bosone, abbot of Susa.",,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 1. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009. no. 127.",EAM; LBB,,,
569,Vitae,Archivio Diocesano,Velletri,IT,"Archivio di Stato, Velletri IT",,,,SN,1270,1280,ca,Unknown Provenance,,,200,26,,,,Unknown Language,,"Scenes from the life of Christ in architectural surround, captions in French.",Written on parchment band,"Amato, Pietro, ed. Mostra, Roma, Castel Sant’Angelo 18 Dicembre 1986 - 31 Gennaio 1987. Tesori D’arte Dei Musei Diocesano. Torino: Umberto Allemandi, 1986. p. 238-9.; Morgan, Nigel. “Early Gothic Manuscripts.” In A Survey of Manuscripts Illuminated in the British Isles, edited by J.J.G. Alexander, Vol. 4. London: Harvey Miller, 1982. p. 270-73.; Stork, Hans-Walter. “Spätmittelalterliche Gebetsbücher in Rollenform in Überlieferung Und Bild.” Gutenberg Jahrschrift 20 (2010): 43–78. n. 34.",,,,
297,Liturgical,Archivio Diocesano,Velletri,IT,"Archivio di Stato, Velletri IT",,,,Exultet,1100,1200,?,"Italy, Montecassino",,,206.6,30.5,4,,N,Unknown Language,,Exultet roll,,"Kelly, Thomas Forrest. The Exultet in Southern Italy. New York: Oxford University Press, 1996.; Suski, Andrzej Wojciech, Giacomo Baroffio, and Manlio Sodi. “Rotoli Liturgici Medievali (Secoli VII-XV). Censimento E Bibliografia.” Revista Liturgica 101, no. 3 (2014): 603–21.",,,,
562,Varia,Archivio Storico Communale,Strocone,IT,"Archivio Storico Communale, Strocone IT",,,,SN,1339,1339,,Unknown Provenance,,,Unknown,15.5,,,,Unknown Language,,,,"Baroffio, Giacomo, Cristina Mastroianni, and Fabrizio Mastroianni. Frammenti Di Storia Medioevale: Mostra Di Codici E Frammenti Di Codici Liturgici Dei Secoli XI-XIV Dall’archivio Storico Del Comune Di Stroncone. Stroncone: Comune di Stroncone, 1998.",,,,
561,Varia,Archivio Storico Communale,Strocone,IT,"Archivio Storico Communale, Strocone IT",,,,SN,1301,1301,,"Italy, Strocone",,,,15.5,,,,Unknown Language,,,,"Baroffio, Giacomo, Cristina Mastroianni, and Fabrizio Mastroianni. Frammenti Di Storia Medioevale: Mostra Di Codici E Frammenti Di Codici Liturgici Dei Secoli XI-XIV Dall’archivio Storico Del Comune Di Stroncone. Stroncone: Comune di Stroncone, 1998.",,,,
611,Chronicles,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,HS 65,1475,1500,,Unknown Provenance,,,251,Unknown,5,,,Unknown Language,,Succession of Fürsten,,Unknown Bibliography,SDP,,,
645,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,Fürstpropstei Berchtesgaden,1488,1488,,"Germany, Berchtesgaden",,,29,15.5,1,,N,Latin,,Fragmentary mortuary roll from Berchtesgaden.,,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 374.",LBB,,,
646,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,"Kl. Lit. St. Salvator, Nr 4 1/2",1490,1491,,Germany,,,428,15,8,,Y,Latin,,Mortuary roll from the Premonstratensian Monastery of St. Salvator.,Anopisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 380.",LBB,,,
647,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,"Kl. Lit. Raitenhaslach, Nr 162",1499,1499,,"Germany, Raitenhaslach Monastery",,,248,"18.5, 19",4,,N,Latin,,Fragmentary mortuary roll from Raitenhaslach.,Anopisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 401.",LBB,,,
648,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,"Fürstpropstei Berchtesgaden 23 (anc. Raritätenselekt, Nr 20, then Kl. Lit. Berchtesgaden, Nr 3a)",1510,1510,,"Germany, Berchtesgaden",,,273,"15.5, 16.5",4,,Y,Latin,,Mortuary roll from Berchtesgaden.,Anopisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 427.",LBB,,,
649,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,"Kl. Lit. Passau, S. Nikola, Nr 112",1510,1510,,"Germany, Passau",,,180,"14.5, 16",3,,N,Latin,,Fragmentary mortuary roll from St. Nikola in Passau.,Anopisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 428.",LBB,,,
650,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,Kl. Lit. Formbach 24,1513,1513,,"Germany, Formach",,,274,"18.5, 20",3,,Y,Latin,,"Mortuary roll of Angelus Rumper, abbot of Formbach.",Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 432.",LBB,,,
651,Mortuary Roll,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,"Kl. Lit. Fürstenzell, Nr 7",1522,1522,,"Germany, Fürstenzell",,,337,"13.5, 15",7,,Y,Latin,,Mortuary roll from Fürstenzell.,Opisthographic.,"Dufour, Jean. Les Rouleaux Des Morts. Vol. 3. Monumenta Palaeographica Medii Aevi. Series Gallica. Turnhout: Brepols, 2009, no. 450.",LBB,,,
79,Chronicles,Bayerisches Hauptstaatsarchiv,Munich,DE,"Bayerische Hauptstaatsarchiv, Munich DE",,,,Rotulus historicus KLB 8,1055,1055,ca,Unknown Provenance,,,Unknown,Unknown,,,,Unknown Language,,Chronicle of Bishop Wikterp von Staffelse,,"Hemmerle, Josef. Die Benediktinerabtei Benediktbeuern. Vol. Neue Folge 28. Germania Sacra. Berlin: Walter de Gruyber, 1991.",SDP (edited),,http://personendatenbank.germania-sacra.de/files/books/NF%2028%20Hemmerle%20Benediktbeuern.pdf,p.1
522,Trees of Christ,Bayerische Staatsbibliothek,Munich,DE,"Bayerische Staatsbibliothek, Munich DE",,,,quart. Cod. ms. 989,1350,1350,,"Germany, Upper Rhine",,,405,26.5,,,,Latin,,Peter of Poitiers Compendium,Parchment Roll,Unknown Bibliography,STM,,http://www.manuscripta-mediaevalia.de/dokumente/html/hsk0526,
